Date;Location;MinTemp;MaxTemp;Rainfall;WindGustDir;WindGustSpeed;WindDir9am;WindDir3pm;WindSpeed9am;WindSpeed3pm;Humidity9am;Humidity3pm;Pressure9am;Pressure3pm;Temp9am;Temp3pm;RainToday;RainTomorrow
01/01/2009;Adelaide;13.4;22.9;0.6;W;44;W;WNW;20;24;71;22;1007.7;1007.1;16.9;21.8;No;No
01/01/2009;Brisbane;7.4;25.1;0;WNW;44;NNW;WSW;4;22;44;25;1010.6;1007.8;17.2;24.3;No;No
01/01/2009;Canberra;12.9;25.7;0;WSW;46;W;WSW;19;26;38;30;1007.6;1008.7;21;23.2;No;No
01/01/2009;Sydney;9.2;28;0;NE;24;SE;E;11;9;45;16;1017.6;1012.8;18.1;26.5;No;No
01/01/2009;Melbourne;17.5;32.3;1;W;41;ENE;NW;7;20;82;33;1010.8;1006;17.8;29.7;No;No
02/01/2009;Adelaide;14.6;29.7;0.2;WNW;56;W;W;19;24;55;23;1009.2;1005.4;20.6;28.9;No;No
02/01/2009;Brisbane;14.3;25;0;W;50;SW;W;20;24;49;19;1009.6;1008.2;18.1;24.6;No;No
02/01/2009;Canberra;7.7;26.7;0;W;35;SSE;W;6;17;48;19;1013.4;1010.1;16.3;25.5;No;No
02/01/2009;Sydney;9.7;31.9;0;NNW;80;SE;NW;7;28;42;9;1008.9;1003.6;18.3;30.2;No;Yes
02/01/2009;Melbourne;13.1;30.1;1.4;W;28;S;SSE;15;11;58;27;1007;1005.7;20.1;28.2;Yes;No
03/01/2009;Adelaide;13.4;30.4;0;N;30;SSE;ESE;17;6;48;22;1011.8;1008.7;20.4;28.8;No;Yes
03/01/2009;Brisbane;15.9;21.7;2.2;NNE;31;NE;ENE;15;13;89;91;1010.5;1004.2;15.9;17;Yes;Yes
03/01/2009;Canberra;15.9;18.6;15.6;W;61;NNW;NNW;28;28;76;93;994.3;993;17.4;15.8;Yes;Yes
03/01/2009;Sydney;12.6;21;3.6;SW;44;W;SSW;24;20;65;43;1001.2;1001.8;15.8;19.8;Yes;No
03/01/2009;Melbourne;8.4;24.6;0;;;S;WNW;4;30;57;32;1009.7;1008.7;15.9;23.5;No;No
04/01/2009;Adelaide;9.8;27.7;;WNW;50;;WNW;;22;50;28;1013.4;1010.3;17.3;26.2;;No
04/01/2009;Brisbane;14.1;20.9;0;ENE;22;SSW;E;11;9;69;82;1012.2;1010.4;17.2;18.1;No;Yes
04/01/2009;Canberra;13.5;22.9;16.8;W;63;N;WNW;6;20;80;65;1005.8;1002.2;18;21.5;Yes;Yes
04/01/2009;Sydney;11.2;22.5;10.6;SSE;43;WSW;SW;24;17;47;32;1009.4;1009.7;15.5;21;Yes;No
04/01/2009;Melbourne;9.8;25.6;0;SSE;26;SE;NNW;17;6;45;26;1019.2;1017.1;15.8;23.2;No;No
05/01/2009;Adelaide;11.5;29.3;0;S;24;SE;SE;9;9;56;28;1019.3;1014.8;19.1;27.3;No;No
05/01/2009;Brisbane;17.1;33;0;NE;43;NE;N;17;22;38;28;1013.6;1008.1;24.5;31.6;No;No
05/01/2009;Canberra;20.5;31.8;0;WNW;41;W;W;19;20;54;24;1007.8;1005.7;23.8;30.8;No;No
05/01/2009;Sydney;15.3;30.9;0;N;33;ESE;NW;6;13;55;23;1011;1008.2;20.9;29;No;No
05/01/2009;Melbourne;12.6;32.4;0;W;43;E;W;4;19;49;17;1012.9;1010.1;21.5;31.2;No;No
06/01/2009;Adelaide;16.2;33.9;0;WSW;35;SE;WSW;9;13;45;19;1010.9;1007.6;23.2;33;No;No
06/01/2009;Brisbane;16.9;33;0;WSW;57;;W;0;26;41;28;1006.8;1003.6;26.6;31.2;No;No
06/01/2009;Canberra;20.1;32.7;0;WNW;48;N;WNW;13;30;56;15;1005.2;1001.7;24.6;32.1;No;No
06/01/2009;Sydney;19.7;27.2;0;WNW;46;NW;WSW;19;30;49;22;1004.8;1004.2;21.6;26.1;No;Yes
06/01/2009;Melbourne;12.5;24.2;1.2;WNW;50;WSW;SW;11;22;78;70;1005.6;1003.4;12.5;18.2;Yes;No
07/01/2009;Adelaide;12;24.4;0.8;W;39;WNW;WNW;17;17;48;28;1006.1;1005.1;16.9;22.7;No;No
07/01/2009;Brisbane;11.3;26.5;0;WNW;56;W;WNW;19;31;46;26;1004.5;1003.2;19.7;25.7;No;No
07/01/2009;Canberra;9.6;23.9;0;W;41;WSW;SSW;19;11;44;22;1014.4;1013.1;14.9;22.1;No;No
07/01/2009;Sydney;10.5;28.8;0;SSE;26;SSE;E;11;7;43;22;1018.7;1014.8;17.1;26.5;No;No
07/01/2009;Melbourne;12.3;34.6;0;WNW;37;SSE;NW;6;17;41;12;1015.1;1010.3;20.7;33.9;No;No
08/01/2009;Adelaide;12.9;35.8;0;WNW;41;ENE;NW;6;26;41;9;1012.6;1009.2;22.4;34.4;No;No
08/01/2009;Brisbane;13.7;37.9;0;W;52;SE;WNW;4;26;33;8;1010.9;1006.7;23.1;36.8;No;No
08/01/2009;Canberra;16.1;38.9;0;W;57;E;W;6;30;34;12;1007;1002.7;25.2;38.4;No;No
08/01/2009;Sydney;14;28.3;0;W;48;W;WSW;17;24;43;15;1011.9;1010.9;17.9;27.6;No;No
08/01/2009;Melbourne;12.5;28.4;0;NE;37;SSE;S;20;9;38;16;1017.8;1013.7;17.2;26.6;No;No
09/01/2009;Adelaide;17;30.8;0;NE;37;NNE;E;15;11;36;24;1013.4;1008.1;20.2;29.3;No;No
09/01/2009;Brisbane;16.9;32;0;S;31;SSE;N;13;17;52;31;1009.9;1006.8;22.8;30;No;No
09/01/2009;Canberra;17.3;34.7;0;SW;35;SE;WSW;7;15;48;16;1014.1;1012.1;24.2;33.2;No;No
09/01/2009;Sydney;17.2;37.7;0;NNW;35;SE;NW;7;17;51;19;1015.7;1010.9;24.3;35.7;No;No
09/01/2009;Melbourne;17.4;43;0;NW;39;SSE;SSW;7;17;40;8;1011.6;1006.9;25.6;41.5;No;No
10/01/2009;Adelaide;19.8;32.7;0;WNW;44;W;W;20;28;34;28;1008.4;1009.2;27.6;27.1;No;No
10/01/2009;Brisbane;14.9;26.7;0;SW;56;WSW;SW;20;31;46;20;1014.1;1012.7;18;25.5;No;No
10/01/2009;Canberra;10.5;28.4;0;SE;33;SE;SW;19;11;35;16;1019.7;1017.4;16;25.8;No;No
10/01/2009;Sydney;11.3;32.2;0;WNW;28;ENE;SSW;17;15;34;17;1019.7;1016.2;20.9;30.5;No;No
10/01/2009;Melbourne;13.9;36.6;0;WNW;39;SSE;NNE;2;15;39;10;1015.8;1010.6;22;34.4;No;No
11/01/2009;Adelaide;18.6;39.9;0;NNW;61;SSE;WNW;9;20;36;21;1010.1;1004.8;26.8;37.7;No;No
11/01/2009;Brisbane;19.3;38.1;0.8;NNW;61;NE;WSW;15;17;48;17;1009.6;1005.9;27.3;36.1;No;No
11/01/2009;Canberra;24.4;34;0.6;NW;98;N;NNW;26;48;60;39;1005.3;997.8;26.1;33.1;No;Yes
11/01/2009;Sydney;18.8;35.2;6.4;WNW;52;S;NW;6;28;43;28;1007.9;1003.9;22.8;33;Yes;No
11/01/2009;Melbourne;20.8;30.6;0;W;54;W;W;30;28;41;21;1005.4;1007.6;23.3;29.7;No;No
12/01/2009;Adelaide;14;34.3;0;WSW;24;ESE;SSE;7;13;44;10;1016.5;1014.6;21.2;32.1;No;No
12/01/2009;Brisbane;15.7;38.4;0;S;33;SSE;WSW;7;7;48;12;1017.7;1014.6;23.4;36.5;No;No
12/01/2009;Canberra;18.5;38.2;0;NNE;31;SE;NNW;9;17;48;25;1017.8;1014.1;25.8;36.2;No;No
12/01/2009;Sydney;20.4;40.7;0;N;37;E;NNE;7;13;45;15;1014.9;1011.6;28.2;39.2;No;No
12/01/2009;Melbourne;21.8;41.5;0;SW;24;ESE;S;6;11;38;13;1015.7;1011.8;29;40.1;No;No
12/01/2009;Adelaide;22.3;42.9;0;NNE;28;ESE;SE;9;11;37;11;1014.6;1010.2;29.2;41.2;No;No
12/01/2009;Brisbane;22;42.7;0;ESE;48;ESE;SW;4;4;33;11;1014.2;1010.5;29.9;42;No;No
12/01/2009;Canberra;28;43.1;0;SW;83;SE;E;15;9;27;9;1012.5;1008.7;32.4;41.9;No;No
12/01/2009;Sydney;24.4;38.3;0.2;SW;56;NE;NW;19;7;32;21;1011.7;1007.4;28.8;37.1;No;No
12/01/2009;Melbourne;21.5;37.7;0;;;N;;13;9;51;21;1009.2;1005.7;27.2;36.2;No;No
13/01/2009;Adelaide;21.7;36.9;0;;;;;11;11;53;26;1008.8;1004.7;25.5;35.2;No;No
13/01/2009;Brisbane;21.5;41.2;0;WSW;35;SSE;S;7;19;48;15;1005.9;1002.6;26.5;39.7;No;No
13/01/2009;Canberra;23.5;42.2;0;W;37;SE;W;6;15;39;8;1008;1005;28.7;41.6;No;No
13/01/2009;Sydney;22.3;44.8;0;NNW;59;SE;NW;9;33;36;11;1008.2;1003.8;29.6;43.4;No;No
13/01/2009;Melbourne;28.3;40.2;0;NW;52;N;W;9;22;20;19;1007;1006.5;34.5;38.5;No;No
14/01/2009;Adelaide;18.4;31.2;0.4;SE;37;SW;WSW;7;11;66;31;1009.3;1007.8;18.7;29.4;No;No
14/01/2009;Brisbane;14.9;27.3;0;SSE;41;SSE;SE;20;13;50;30;1011.6;1008.5;17.4;25.8;No;No
14/01/2009;Canberra;13.5;26.7;0;SSE;46;SSE;E;19;11;45;24;1012.8;1011.1;16.7;24.9;No;No
14/01/2009;Sydney;16.1;21.6;0;SE;46;SSE;NE;11;15;58;69;1017;1017.3;17;17.3;No;Yes
14/01/2009;Melbourne;14.6;29;3;SSE;41;SE;SSE;26;24;41;21;1023.3;1019.7;18;27.6;Yes;No
15/01/2009;Adelaide;12.4;29.2;0;NE;39;S;;7;0;37;18;1022.5;1016.4;18.3;28.5;No;No
15/01/2009;Brisbane;13.3;31.3;0;NNE;41;SSE;SSW;7;15;50;23;1016.2;1012.8;19.2;29.2;No;No
15/01/2009;Canberra;17.2;31.1;0;E;35;SE;ESE;17;11;43;22;1017.7;1013.8;21.4;29.5;No;No
15/01/2009;Sydney;12.5;28.8;0;N;31;SSE;ENE;7;11;46;17;1017.2;1013.5;18;27;No;No
15/01/2009;Melbourne;18;32;0;NW;31;ENE;SW;4;13;44;22;1012.4;1007.5;22.1;30.7;No;No
16/01/2009;Adelaide;16.2;34;0;WSW;48;SE;WSW;4;22;53;16;1007.8;1004.5;21;32.7;No;No
16/01/2009;Brisbane;18.7;29.1;0;SSW;41;NNW;SSE;7;17;45;39;1010.1;1010.8;21.5;26.8;No;No
16/01/2009;Canberra;13.7;31.7;0;SSE;28;SSE;S;2;9;63;19;1012.5;1010.4;19.3;29.8;No;No
16/01/2009;Sydney;15.5;33.2;0;NW;31;S;WNW;11;15;49;23;1015.6;1012.4;20.9;31.3;No;No
16/01/2009;Melbourne;14.3;34;0;NW;70;SE;NW;6;22;48;10;1013;1009.2;20.7;33.4;No;No
17/01/2009;Adelaide;12.9;29.6;0;WNW;46;SW;WNW;7;24;54;14;1014;1012.7;18.7;28.6;No;No
17/01/2009;Brisbane;8.9;31.9;0;WNW;43;;WSW;0;17;49;16;1016.6;1013.4;15;29.3;No;No
17/01/2009;Canberra;15;32.7;0;ESE;26;ESE;S;15;2;43;19;1017.8;1015;20.7;30.5;No;No
17/01/2009;Sydney;15.4;32.6;0;W;24;;S;0;6;53;25;1016.2;1012.6;20;30.8;No;No
17/01/2009;Melbourne;16;34.5;0;WSW;44;E;;6;;44;14;1007.5;1004.6;22.2;33.6;No;No
18/01/2009;Adelaide;12.8;30.3;0;W;30;W;WSW;4;13;53;27;1010.5;1008.7;17.3;28.1;No;No
18/01/2009;Brisbane;13.2;31.9;0;NNW;35;S;ENE;6;9;53;25;1014.1;1011.6;18;29.8;No;No
18/01/2009;Canberra;18;31.1;0;WNW;52;NE;NNE;15;26;58;35;1014.7;1009;23;29.2;No;No
18/01/2009;Sydney;13.8;22.1;0.2;WNW;57;W;WNW;26;33;57;26;1014.5;1013.1;15.6;21.9;No;No
18/01/2009;Melbourne;11.5;22;0;SW;50;WSW;W;19;33;60;33;1013.7;1011.8;13.9;21.4;No;No
19/01/2009;Adelaide;7.6;24;0;WSW;30;;WNW;0;13;52;23;1014.5;1012;12.6;22;No;No
19/01/2009;Brisbane;8.3;27.9;0;W;37;S;W;4;20;58;22;1015.2;1012.4;13.3;27;No;No
19/01/2009;Canberra;11;30.2;0;SSE;24;E;SSE;7;11;54;20;1017;1014.7;17.6;28.8;No;No
19/01/2009;Sydney;13.8;31.8;0;NNE;24;SSE;NE;6;17;49;28;1019.7;1015.9;18.6;30.5;No;No
19/01/2009;Melbourne;15.5;32;0;NE;50;ESE;E;2;4;51;25;1019.5;1016.2;20.1;30.8;No;Yes
20/01/2009;Adelaide;18.4;30.5;1.2;NE;44;NE;N;15;19;57;23;1021.3;1018;21.5;29.6;Yes;No
20/01/2009;Brisbane;20.9;25.7;0;W;37;ENE;S;11;9;52;90;1019.5;1018.9;22.2;18.8;No;Yes
20/01/2009;Canberra;17.1;25.8;5.8;ENE;31;;S;0;13;82;68;1017.4;1014.7;19;23.8;Yes;Yes
20/01/2009;Sydney;16.4;27;3;SW;69;E;N;9;22;82;74;1012.7;1008;19.9;19.7;Yes;Yes
20/01/2009;Melbourne;10;19.7;11.6;WNW;39;W;NW;11;17;62;41;1013.4;1012;12.7;18.3;Yes;No
21/01/2009;Adelaide;8.8;21.9;0;W;39;S;WNW;2;20;78;34;1013.3;1011.6;12.2;20.5;No;No
21/01/2009;Brisbane;8.4;25.3;0;WNW;35;SSE;WSW;9;17;78;34;1015.6;1013.2;12.1;23.9;No;No
21/01/2009;Canberra;9.3;28;0;NW;52;SSE;NW;6;11;76;19;1017.4;1013.9;14.7;27.2;No;No
21/01/2009;Sydney;11.3;30.1;0;WSW;24;S;SW;6;7;56;15;1016.3;1013.6;14.7;29.3;No;No
21/01/2009;Melbourne;11.5;33.5;0;SSE;22;NE;N;7;7;50;13;1016.5;1013.6;17.4;32.6;No;No
22/01/2009;Adelaide;13.8;33.6;0;NNW;28;;NNE;0;11;47;17;1017;1013.1;18.8;33.5;No;No
22/01/2009;Brisbane;14.6;30;0;NE;37;E;NNE;4;19;56;30;1014.8;1012.7;18.1;29;No;No
22/01/2009;Canberra;14.4;31.6;0;NW;37;;WNW;0;24;63;25;1013.7;1011.8;18.8;31.4;No;No
22/01/2009;Sydney;10.8;31.9;0;S;48;SSE;WNW;6;20;62;20;1016.5;1014.4;15.4;30.7;No;No
22/01/2009;Melbourne;15.4;22.3;0.4;ENE;30;SSE;SSE;11;9;69;78;1017.4;1019.2;18.3;19.6;No;Yes
23/01/2009;Adelaide;13.3;29.8;1.8;WSW;33;;WNW;0;20;87;26;1019.1;1017.2;16.2;29.2;Yes;No
23/01/2009;Brisbane;10.1;27.6;0;WNW;43;;W;0;11;63;30;1023;1020.7;16.5;26.8;No;No
23/01/2009;Canberra;9.1;28.9;0;NNW;24;N;N;2;17;60;26;1023.8;1020.6;14;27.7;No;No
23/01/2009;Sydney;10.4;31.2;0;S;22;;SE;0;6;60;18;1022.4;1019.1;16;29.9;No;No
23/01/2009;Melbourne;13.4;30.4;0;ENE;22;;SE;0;9;57;16;1023;1019.5;17.2;29.2;No;No
24/01/2009;Adelaide;12.3;29.9;0;WSW;26;S;SSW;2;13;61;25;1023.2;1019.5;17.1;28.6;No;No
24/01/2009;Brisbane;12.2;30.6;0;SE;22;;ENE;0;6;59;22;1022.6;1019.4;16.6;29.5;No;No
24/01/2009;Canberra;14.3;32.1;0;NE;28;;ENE;0;11;59;30;1022.6;1018.4;18.4;30.9;No;Yes
24/01/2009;Sydney;18.4;28.1;8.6;W;98;E;NNE;7;17;92;49;1018.8;1012.9;19;27.4;Yes;Yes
24/01/2009;Melbourne;10.7;21.4;12.6;W;43;;WSW;0;13;60;33;1019.8;1019.3;13.9;20.3;Yes;No
25/01/2009;Adelaide;7.8;21.7;0;WSW;31;E;NW;6;19;72;37;1020.4;1016.5;12.9;21.2;No;No
25/01/2009;Brisbane;8.1;21.4;0;W;35;SSE;WSW;13;19;58;20;1021.8;1019.6;13.8;20.9;No;No
25/01/2009;Canberra;7.5;22.5;0;SE;28;S;S;7;7;55;27;1026.7;1023.5;13.3;21.6;No;No
25/01/2009;Sydney;8.2;24;0;SSE;17;SSE;SSE;7;13;60;30;1027.1;1023.4;13.8;23.5;No;No
25/01/2009;Melbourne;8.1;25.7;0;ENE;22;ESE;S;9;13;67;27;1024.2;1019.6;15.1;25;No;No
26/01/2009;Adelaide;11.6;26.7;0;W;48;SE;NE;6;11;59;42;1021.5;1017.7;16.4;24.3;No;Yes
26/01/2009;Brisbane;13;24.9;8.4;W;46;S;E;6;11;75;47;1024.4;1020.3;18;24.4;Yes;Yes
26/01/2009;Canberra;13.5;24.2;6.2;WSW;20;;SE;0;6;88;52;1024.1;1020.8;15.4;23.1;Yes;No
26/01/2009;Sydney;9.9;25.4;0;NNE;19;ENE;SSW;4;7;65;35;1023;1018.7;16.1;25;No;No
26/01/2009;Melbourne;12.2;25;0;WNW;30;;W;0;15;68;39;1016.3;1011.6;16.2;24.6;No;No
27/01/2009;Adelaide;10.7;21.9;0;W;63;NW;W;26;31;44;27;1008.2;1009.8;20.5;18.9;No;No
27/01/2009;Brisbane;3.5;20;0;W;31;;WNW;0;13;65;30;1016.3;1012.8;9.6;19.4;No;No
27/01/2009;Canberra;6.6;21.6;0;WNW;26;ENE;W;6;11;59;39;1018.5;1016.8;12.6;21.6;No;No
27/01/2009;Sydney;7;23.4;0;W;24;SSE;W;2;17;73;37;1022.8;1019.3;12.4;22.9;No;No
27/01/2009;Melbourne;11.2;23.9;0;SE;31;SE;SE;13;15;54;33;1022.7;1019.6;18;23.6;No;No
28/01/2009;Adelaide;7.4;22;0;SSE;28;SE;SE;2;7;58;29;1023.6;1020;14.1;21.3;No;No
28/01/2009;Brisbane;5.7;21.4;0;ESE;17;ENE;SSE;6;7;68;39;1025.2;1020.9;12.2;20.9;No;No
28/01/2009;Canberra;6.2;22.7;0;ESE;17;;SW;0;7;73;33;1026;1021.6;11.2;22.3;No;No
28/01/2009;Sydney;6;22.9;0;NE;33;;NE;0;20;68;34;1021.3;1015.7;12.9;22.6;No;No
28/01/2009;Melbourne;10.6;16.2;0;WNW;39;ESE;NNE;7;4;74;86;1008.9;1002.4;14.9;15.1;No;Yes
29/01/2009;Adelaide;12.9;15.8;20;W;70;WNW;NNW;19;15;83;89;1004.8;1000.9;13.3;14.5;Yes;Yes
29/01/2009;Brisbane;8.6;12.9;21;NNW;63;NW;WNW;26;31;77;62;1004;1003.3;9.5;11.6;Yes;Yes
29/01/2009;Canberra;4.5;11.5;3.2;NW;26;N;NNW;9;13;82;79;1013.8;1013.5;7.6;9.4;Yes;Yes
29/01/2009;Sydney;7.6;14.5;4.8;WNW;35;W;W;15;20;83;48;1018;1018.3;10.1;14;Yes;No
